date,T,Instantaneous,Y001,B001,W001,W002,W003,W004,W005,W006,W007
9/27/23 14:20,Start,16.995969,17.2,17.3,17.2,17.3,17.3,17.2,17.2,17.1,17.3
9/27/23 14:25,5,16.9911,17.2,17.3,17.3,17.3,17.3,17.2,17.2,17.1,17.2
9/27/23 14:30,10,16.98955933,17.2,17.3,17.2,17.3,17.3,17.2,17.2,17.2,17.3
9/27/23 14:35,Mid,16.98891433,17.2,17.2,17.2,17.3,17.3,17.1,17.2,17.2,17.2
9/27/23 14:40,20,16.98860033,17.2,17.2,17.3,17.3,17.3,17.2,17.2,17.1,17.2
9/27/23 14:45,End,16.988672,17.3,17.3,17.2,17.3,17.2,17.2,17.3,17.1,17.2
9/27/23 14:50,30,16.9886,17.2,17.2,17.3,17.3,17.3,17.1,17.3,17.1,17.2
9/27/23 16:20,Start,18.96994733,19.2,19.3,19.2,19.3,19.2,19.2,19.2,19.1,19.2
9/27/23 16:25,5,18.970586,19.2,19.2,19.2,19.3,19.3,19.2,19.2,19.1,19.2
9/27/23 16:30,10,18.97094333,19.2,19.2,19.2,19.1,19.2,19.2,19.1,19.1,19.2
9/27/23 16:35,Mid,18.97092067,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.1,19.2
9/27/23 16:40,20,18.97088833,19.3,19.2,19.1,19.3,19.3,19.2,19.2,19.1,19.2
9/27/23 16:45,End,18.971422,19.2,19.2,19.2,19.2,19.3,19.1,19.2,19.1,19.1
9/27/23 16:50,30,18.97123667,19.1,19.2,19.2,19.2,19.3,19.2,19.2,19.1,19.2
9/27/23 17:50,Start,20.95473333,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.1,21.2
9/27/23 17:55,5,20.954492,21.1,21.2,21.2,21.2,21.2,21.2,21.2,21.1,21.2
9/27/23 18:00,10,20.95443333,21.2,21.3,21.2,21.2,21.2,21.2,21.2,21.1,21.2
9/27/23 18:05,Mid,20.954437,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.1,21.2
9/27/23 18:10,20,20.954277,21.2,21.2,21.2,21.3,21.2,21.2,21.2,21.1,21.2
9/27/23 18:15,End,20.95444533,21.2,21.3,21.1,21.2,21.2,21.2,21.2,21.1,21.2
9/27/23 18:20,30,20.95441333,21.2,21.2,21.1,21.2,21.2,21.2,21.2,21.1,21.2
9/28/23 9:10,Start,23.40697733,23.5,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.5
9/28/23 9:15,5,23.36095,23.6,23.7,23.7,23.7,23.7,23.5,23.6,23.5,23.6
9/28/23 9:20,10,22.98201467,23.6,23.5,23.5,23.6,23.7,23.6,23.6,23.3,23.6
9/28/23 9:25,Mid,22.91595,23.6,23.1,23.1,23.2,23.5,23.4,23.3,23,23.4
9/28/23 9:30,20,22.930465,23.2,23.2,23.1,23.1,23.1,23.2,23.1,23.1,23.2
9/28/23 9:35,End,22.93498433,23.1,23.2,23.2,23.1,23.2,23.1,23.1,23.1,23.1
9/28/23 9:40,30,22.94599333,23.1,23.2,23.1,23.2,23.2,23.1,23.1,23.2,23.1
9/28/23 10:20,Start,24.91726067,25.4,25.1,25.1,25.2,25.3,25.2,25.1,25.1,25.2
9/28/23 10:25,5,24.92642167,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
9/28/23 10:30,10,24.92874433,25.1,25.2,25.2,25.1,25.1,25.1,25.1,25.1,25.1
9/28/23 10:35,Mid,24.92958633,25.1,25.1,25.1,25.1,25.2,25.1,25.1,25,25.1
9/28/23 10:40,20,24.92959933,25.1,25.1,25.1,25.2,25.1,25.2,25.1,25.1,25.1
9/28/23 10:45,End,24.92962567,25.1,25.1,25.2,25.2,25.2,25.1,25.2,25.1,25.1
9/28/23 10:50,30,24.92936333,25.1,25.2,25.1,25.1,25.2,25.1,25.1,25,25.1
9/28/23 11:20,Start,26.92962767,27.1,27.1,27.1,27.1,27.2,27.1,27.1,27.1,27.1
9/28/23 11:25,5,26.928168,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27,27.1
9/28/23 11:30,10,26.927452,27.1,27.1,27.1,27.1,27.2,27.2,27.1,27,27.1
9/28/23 11:35,Mid,26.927369,27.1,27.2,27.1,27.1,27.1,27.1,27.1,27.1,27.1
9/28/23 11:40,20,26.92727633,27.1,27.1,27.1,27.1,27.1,27,27.1,27.1,27.1
9/28/23 11:45,End,26.92739533,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27,27.1
9/28/23 11:50,30,26.92711,27.1,27.1,27.1,27.1,27.2,27.1,27.1,27.1,27.1
9/28/23 12:20,Start,28.93807233,29.1,29,29.1,29.1,29.2,29.1,29.1,29,29.1
9/28/23 12:25,5,28.93490267,29.1,29.2,29.1,29.1,29.2,29.1,29.1,29.1,29
9/28/23 12:30,10,28.93376367,29.2,29.1,29.1,29.1,29.2,29.1,29.1,29,29.1
9/28/23 12:35,Mid,28.93337333,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29,29.1
9/28/23 12:40,20,28.933254,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
9/28/23 12:45,End,28.933196,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29,29.1
9/28/23 12:50,30,28.93289667,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
9/28/23 13:40,Start,30.975406,29.6,31,31,30.7,30,30.1,30.4,31.1,30.1
9/28/23 13:45,5,30.95751567,30.7,31.1,31.1,31.1,31,31.1,31.1,31.1,31.1
9/28/23 13:50,10,30.952128,31.2,31.1,31.1,31.1,31.1,31.1,31.1,31,31.2
9/28/23 13:55,Mid,30.94990667,31.2,31.1,31.1,31.2,31.2,31.1,31.1,31,31.1
9/28/23 14:00,20,30.94944333,31.1,31.1,31.1,31.1,31.2,31.2,31.1,31.1,31.2
9/28/23 14:05,End,30.94949167,31.2,31.1,31.2,31.2,31.1,31.1,31.1,31,31.1
9/28/23 14:20,Start,32.99161967,31.8,33.1,33.1,33,32.2,32.4,32.7,33.1,32.5
9/28/23 14:25,5,32.978033,32.9,33.1,33.2,33.2,33.1,33.2,33.1,33.1,33.1
9/28/23 14:30,10,32.97358567,33.2,33.2,33.2,33.1,33.2,33.2,33.2,33,33.1
9/28/23 14:35,Mid,32.97205033,33.1,33.2,33.1,33.1,33.1,33.1,33.2,33.1,33.1
9/28/23 14:40,20,32.97142267,33.1,33.1,33.1,33.2,33.2,33.2,33.1,33.1,33.2
9/28/23 14:45,End,32.971164,33.2,33.2,33.1,33.1,33.2,33.2,33.1,33.1,33.1
9/28/23 14:50,30,32.97121667,33.1,33.1,33.1,33.2,33.2,33.2,33.2,33.1,33.1
9/28/23 15:10,Start,35.04338767,33.5,34.8,34.9,34.7,33.9,33.9,34.3,35.1,34.1
9/28/23 15:15,5,35.019187,34.6,35.2,35.2,35.2,34.9,35,35.2,35.1,35.1
9/28/23 15:20,10,35.01253067,35.2,35.1,35.2,35.2,35.2,35.2,35.2,35.1,35.2
9/28/23 15:25,Mid,35.01010067,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.1,35.2
9/28/23 15:30,20,35.00941733,35.1,35.1,35.2,35.2,35.2,35.2,35.2,35.1,35.1
9/28/23 15:35,End,35.00932567,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.1,35.2
9/28/23 15:40,30,35.008755,35.2,35.1,35.1,35.2,35.2,35.2,35.2,35.1,35.2
