Reviewer,Brand,Model,model,Location,lat,long,country,subreg1,subreg2,Study.Type,Freq1,Freq2,Freq3,Notes,Duration1,Duration2,Duration3,Duration4,Depth1,Depth2,Depth3,Depth4,Notes.1,Accuracy1,Accuracy2,Notes.2,Calibrated,Notes.3,Shaded,Notes.4,Data.Available,Notes.5,Citation,DOI,Notes.6,X
Wally,Aanderaa,Aanderaa Oxygen optode,Aanderaa Oxygen optode,"Bermuda (32.457º, -64.835º)",32.457,-64.835,Bermuda,,,Biogeochemistry,10,15,120,,~3 weeks,,,,7,,,NA,,0.002,0.005,,Not mentioned,,Not mentioned,,Yes,,Pezner et al. 2021,http://dx.doi.org/10.3389/fmars.2021.562267,,
Gage,Aanderaa,SEAGUARD RCM,SEAGUARD RCM,"Keahole, Hawaii and Makapu'a, Hawaii, and Barbers Pinnacle, Hawaii",19.7268,-156.0619,Hawaii,,,Physical Oceanography,Not mentioned,,NA,,7 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Parrish and Oliver 2020,http://dx.doi.org/10.3389/fmars.2020.00310,,
Gage,Alec Electronics Co,Compact-CT,Compact-CT,"Iriomote Island, Japan (24°15–25′N, 123°40–55′E)",24.25,123.66667,Japan,,,Ecology,Not mentioned,,NA,,3 years,,,,Not mentioned,,,NA,0.4 from bottom,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Muko et al. 2013,http://dx.doi.org/10.1007/s00338-012-0967-z,,
Gage,Alec Electronics Co,Compact-CTW,Compact-CTW,"Iriomote Island, Japan (24°15–25′N, 123°40–55′E)",24.25,123.66667,Japan,,,Ecology,Not mentioned,,NA,,3 years,,,,Not mentioned,,,NA,0.4 from bottom,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Muko et al. 2013,http://dx.doi.org/10.1007/s00338-012-0967-z,,
Gage,Aquatec,AQUAlogger 210,AQUAlogger 210,"Hainan Island, South China Sea",20.02,110.3486,China,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Zhu et al. 2021,http://dx.doi.org/10.1016/j.marpolbul.2021.113048,,
Lena,Dataflow Systems Ltd,Odyssey,Odyssey,"Solitary Islands Marine Park (30° South), E Australia",-29.66667,153.08333,Australia,,,Ecology,30,,NA,,365,,,,7,13.4,,NA,,0.16,,,Yes,,Not mentioned,,Yes,,"Malcolm HA, Davies PL, Jordan A, Smith SDA (2011) Variation in sea temperature and the East Australian Current in the Solitary Islands region between 2001�2008. Deep Sea Research Part II:  Topical Studies in Oceanography 58: 616-627",https://doi.org/10.1016/j.dsr2.2010.09.030,Not sure whether to include because they used in situ but from someone else,Info for data used in http://dx.doi.org/10.1007/s00338-021-02081-2 came from cited paper here
Wally,DTS,Raman fiber ,Raman fiber ,"Dongsha Atoll, South China Sea",20.6553,116.9008,China,,,Physical Oceanography,1,,NA,,1 week,,,,0.5,3.5,,NA,,0.002,,,Yes,,Not mentioned,,No,,Reid et al. 2019,http://dx.doi.org/10.1002/lno.11162,"""reef flat is 0.5 to 3.5m""",
Nicole,Eureka Water Probes,Manta + Water Quality Sonde,Manta + Water Quality Sonde,"Mandapam group of Islands in Gulf of Mannar Marine Biosphere Reserve, India",9.21564,79.12834,India,,,Ecology,Not mentioned,,NA,,9 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Ramesh et al., 2020",http://dx.doi.org/10.1016/j.rsma.2020.101429,,
Lena,Gemini Data Loggers Ltd,Not mentioned,Not mentioned,"Suleman Reef, South Sinai, Egypt",27.91582,34.32995,Egypt,,,Ecology,240,,NA,,4 days,,,,0.5,0.8,,NA,0.5-0.8m,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Bach et al., 2017",http://dx.doi.org/10.3389/fmars.2017.00212,,
Gage,General Oceanics,Low velocity flow meter 2030R6,Low velocity flow meter 2030R6,"Keahole, Hawaii and Makapu'a, Hawaii, and Barbers Pinnacle, Hawaii",19.7268,-156.0619,Hawaii,,,Physical Oceanography,Not mentioned,,NA,,7 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Parrish and Oliver 2020,http://dx.doi.org/10.3389/fmars.2020.00310,,
Wally,Hugrun (now Star-Oddi),Starmon mini,Starmon mini,"Sodwana Bay, South Africa ()",-27.41492,32.72661,South Africa,,,Ecology,Not mentioned,,NA,,20 yrs,,,,18,,,NA,,0.02,0.025,,Yes,,Not mentioned,,No,,Porter and Schleyer 2017,http://dx.doi.org/10.1007/s00338-016-1531-z,,
Gage,Hugrun (now Star-Oddi),Starmon mini,Starmon mini,"Phuket Island, Thailand (7°50′N, 98°25.5′E) ",7.83333,98.425,Thailand,,,Physical Oceanography,5,30,NA,,Not mentioned,,,,Not mentioned,,,NA,,0.05,0.2 +/- 0.05% readings,,Yes,,Not mentioned,,Yes,,Sweet et al. 2017,http://dx.doi.org/10.1007/s00338-017-1572-y,"First sensor was used to take temp at surface of coral, second was an environmental monitor but needed to be read and recorded by the Grant Squirrel Logger",
Lena/Erik,Hugrun (now Star-Oddi),PTS sensor,PTS sensor,"16° 31.84′ S, 151° 42.27′ W",-16.53067,-151.7045,French Polynesia,,,Physical Oceanography,10,,NA,600 s,3 weeks,,,,2,,,NA,,0.0001,,,Yes,,Unclear,,No,,van Haren 2020,http://dx.doi.org/10.2112/JCOASTRES-D-19-00154.1,,
Jess,Innovasea VR2Tx ,acoustic receiver,acoustic receiver,throughout Florida Keys,24.6914,-81.18968,Florida,,,Ecology,60,,NA,,709 -1475,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,upon request,,"Brownscombe J, Griffin L, Morley D, Acosta A, Boucek R, Adams A, Danylchuk A, Cooke S. (2022). Spatial-temporal patterns of Permit (Trachinotus falcatus) habitat residency in the Florida Keys, USA. Environmental Biology of Fishes. 106. 1-13. 10.1007/s10641-022-01332-7. ",10.1007/s10641-022-01332-7,,
Gage,Lowell Instruments,TCM-3,TCM-3,"Keahole, Hawaii and Makapu'a, Hawaii, and Barbers Pinnacle, Hawaii",19.7268,-156.0619,Hawaii,,,Physical Oceanography,Not mentioned,,NA,,7 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Parrish and Oliver 2020,http://dx.doi.org/10.3389/fmars.2020.00310,,
